lement_code,element_name,disseminated,calculated,Source,source
4437,Irrigated crop yield: Groundnuts,I,V,A,AQUASTAT
4438,Irrigated crop yield: Sunflower,I,V,A,AQUASTAT
4439,Irrigated crop yield: Sesame,I,V,A,AQUASTAT
4440,Irrigated crop yield: Coconuts,I,V,A,AQUASTAT
4441,Irrigated crop yield: Flowers,I,V,A,AQUASTAT
4445,% of area equipped for irrigation salinized,D,C,C,DERIVED
4446,% of area equipped for irrigation drained,D,C,C,DERIVED
4448,Other agricultural water managed area,I,C,C,DERIVED
4449,Population economically active,I,V,O,ILO
4450,Freshwater withdrawal as % of internal renewable water resources,I,C,C,DERIVED
4451,Direct use of agricultural drainage water,D,V,A,AQUASTAT
4452,Groundwater: accounted inflow,D,V,A,AQUASTAT
4453,Groundwater: accounted outflow to other countries,D,V,A,AQUASTAT
4454,Conservation agriculture area,D,V,A,AQUASTAT
4455,Conservation agriculture area as % of arable land area,D,C,C,DERIVED
4457,Municipal water withdrawal per capita (total population),I,C,C,DERIVED
4458,GDP per Capita,D,C,C,DERIVED
4459,Area equipped for full control irrigation: pressurized (sprinkler + localized),I,C,C,DERIVED
4460,Water withdrawal for cooling of thermoelectric plants,I,V,A,AQUASTAT
4461,Area equipped for full control irrigation: actually irrigated,D,V,A,AQUASTAT
4462,Harvested irrigated crop area as % of the full control irrigation area actually irrigated,I,C,C,DERIVED
4463,% of area equipped for full control irrigation actually irrigated,D,C,C,DERIVED
4464,Irrigated cropping intensity,D,C,C,DERIVED
4465,Area equipped by direct use of treated municipal wastewater,D,V,A,AQUASTAT
4466,% of area equipped by direct use of treated municipal wastewater,D,C,C,DERIVED
4467,Freshwater withdrawal as % of total water withdrawal,I,C,C,DERIVED
4468,Municipal water withdrawal per capita (urban population),I,C,C,DERIVED
4469,Permanent meadows and pastures irrigated,D,V,A,AQUASTAT
4470,% of total country area cultivated,D,C,C,DERIVED
4471,Dam capacity per capita,D,C,C,DERIVED
4472,National Rainfall Index (NRI),D,V,O,FAOCLIMPAG
4473,Number of people undernourished (3-year average),D,V,O,FAOSTAT
4474,Prevalence of undernourishment (3-year average),D,V,O,FAOSTAT
4475,Irrigation water withdrawal,D,V,A,AQUASTAT
4476,Water withdrawal for livestock (water and cleaning),I,V,A,AQUASTAT
4477,Water withdrawal for aquaculture,I,V,A,AQUASTAT
4478,Freshwater withdrawal by households (self-abstracted),I,V,A,AQUASTAT
4479,Water withdrawal for manufactured products,I,V,A,AQUASTAT
4480,Water withdrawal for other industries,I,V,A,AQUASTAT
4481,Agricultural fresh surface water withdrawal (self-abstracted),I,V,A,AQUASTAT
4482,Industrial fresh surface water withdrawal (self-abstracted),I,V,A,AQUASTAT
4483,Municipal fresh surface water withdrawal (self-abstracted),I,V,A,AQUASTAT
4484,Agricultural fresh groundwater withdrawal (self-abstracted),I,V,A,AQUASTAT
4485,Industrial fresh groundwater withdrawal (self-abstracted),I,V,A,AQUASTAT
4486,Municipal fresh groundwater withdrawal (self-abstracted),I,V,A,AQUASTAT
4487,Agricultural freshwater withdrawal (self-abstracted),I,V,A,AQUASTAT
4488,Industrial freshwater withdrawal (self-abstracted),I,V,A,AQUASTAT
4489,Municipal freshwater withdrawal (total),I,V,A,AQUASTAT
4490,Direct use of treated municipal wastewater for irrigation purposes,D,V,A,AQUASTAT
4491,Not treated municipal wastewater,D,V,A,AQUASTAT
4492,Fresh groundwater withdrawal for irrigation (self-abstracted),I,V,A,AQUASTAT
4493,Collected municipal wastewater,D,V,A,AQUASTAT
4494,Desalinated water for municipalities,I,V,A,AQUASTAT
4495,Desalinated water for agriculture,I,V,A,AQUASTAT
4496,Freshwater withdrawal by water supply entity,I,V,A,AQUASTAT
4497,Fresh surface water withdrawal for irrigation (self-abstracted),I,V,A,AQUASTAT
4498,Freshwater withdrawal by services (self-abstracted),I,V,A,AQUASTAT
4499,Water from Water Supply Entity used by agriculture,I,V,A,AQUASTAT
4500,Water from Water Supply Entity used by industry,I,V,A,AQUASTAT
4501,Water from Water Supply Entity used by households,I,V,A,AQUASTAT
4502,Total water used (withdrawal + WSE),I,V,A,AQUASTAT
4503,Total water used by agriculture,I,V,A,AQUASTAT
4504,Total water used by industry,I,V,A,AQUASTAT
4505,Total water used by households,I,V,A,AQUASTAT
4506,Total Water Supply Entity (WSE) water used,I,V,A,AQUASTAT
4507,Freshwater withdrawal for irrigation (self-abstracted),I,V,A,AQUASTAT
